TaskID,TaskName,resource_type,SectionID,SectionName,Completed,Client_Name,Project Name,Brand
1198708060991168,BMW of Peabody Social Build + Flip,task,1198708006099661,Social Build + Flip,False,BMW of Peabody,Jan Build,BMW
1198743365321997,BMW of Spokane  Social Build + Flip,task,1198708006099661,Social Build + Flip,False,BMW of Spokane ,Jan Build,BMW
1198743368822208,Union Park BMW Social Build + Flip,task,1198708006099661,Social Build + Flip,False,Union Park BMW,Jan Build,BMW
1198708060725933,BMW of Darien Social Build + Flip,task,1198708006099661,Social Build + Flip,False,BMW of Darien,Jan Build,BMW
1198853062147134,BMW of Freeport Social Build + Flip,task,1198708006099661,Social Build + Flip,False,BMW of Freeport,Jan Build,BMW
1198853062621669,Park Ave BMW Social Build + Flip,task,1198708006099661,Social Build + Flip,False,Park Ave BMW,Jan Build,BMW
1198708059887790,BMW of Ramsey Social Build + Flip,task,1198708006099661,Social Build + Flip,False,BMW of Ramsey,Jan Build,BMW
1198743371857738,Keeler BMW Account QC,task,1198708006100724,Account QC,False,Keeler BMW,Jan Build,BMW
1198743372070642,BMW of the Hudson Valley Account QC,task,1198708006100724,Account QC,False,BMW of the Hudson Valley,Jan Build,BMW
1198743372006333,Bill Jacobs BMW Account QC,task,1198708006100724,Account QC,False,Bill Jacobs BMW,Jan Build,BMW
1198853065744798,BMW of the Main Line Account QC,task,1198708006100724,Account QC,False,BMW of the Main Line,Jan Build,BMW
1198743371844999,BMW Seattle Account QC,task,1198708006100724,Account QC,False,BMW Seattle,Jan Build,BMW
1198853063065446,Autobahn BMW Fort Worth Account QC,task,1198708006100724,Account QC,False,Autobahn BMW Fort Worth,Jan Build,BMW
1198708058766162,BMW of Peabody Account QC,task,1198708006100724,Account QC,False,BMW of Peabody,Jan Build,BMW
1198743370664251,BMW of Spokane  Account QC,task,1198708006100724,Account QC,False,BMW of Spokane ,Jan Build,BMW
1198853065334738,Union Park BMW Account QC,task,1198708006100724,Account QC,False,Union Park BMW,Jan Build,BMW
1198708061369560,BMW of Darien Account QC,task,1198708006100724,Account QC,False,BMW of Darien,Jan Build,BMW
1198853065140365,BMW of Freeport Account QC,task,1198708006100724,Account QC,False,BMW of Freeport,Jan Build,BMW
1198853063857291,Park Ave BMW Account QC,task,1198708006100724,Account QC,False,Park Ave BMW,Jan Build,BMW
1198743370133221,BMW of Ramsey Account QC,task,1198708006100724,Account QC,False,BMW of Ramsey,Jan Build,BMW
1198743527291943,BMW Seattle Lithia Approval,task,1198708006105899,Lithia Approval,False,BMW Seattle,Jan Build,BMW
1198708193379806,BMW of Ramsey Lithia Approval,task,1198708006105899,Lithia Approval,False,BMW of Ramsey,Jan Build,BMW
1198708062856738,Keeler BMW Alexia Link,task,1198708006108001,Alexia Link,False,Keeler BMW,Jan Build,BMW
1198853064591434,BMW of the Hudson Valley Alexia Link,task,1198708006108001,Alexia Link,False,BMW of the Hudson Valley,Jan Build,BMW
1198708062153569,Bill Jacobs BMW Alexia Link,task,1198708006108001,Alexia Link,False,Bill Jacobs BMW,Jan Build,BMW
1198708063343354,BMW of the Main Line Alexia Link,task,1198708006108001,Alexia Link,False,BMW of the Main Line,Jan Build,BMW
1198708063323423,BMW Seattle Alexia Link,task,1198708006108001,Alexia Link,False,BMW Seattle,Jan Build,BMW
1198853064988441,Autobahn BMW Fort Worth Alexia Link,task,1198708006108001,Alexia Link,False,Autobahn BMW Fort Worth,Jan Build,BMW
1198743372790989,BMW of Peabody Alexia Link,task,1198708006108001,Alexia Link,False,BMW of Peabody,Jan Build,BMW
1198708062917091,BMW of Spokane  Alexia Link,task,1198708006108001,Alexia Link,False,BMW of Spokane ,Jan Build,BMW
1198743369535300,Union Park BMW Alexia Link,task,1198708006108001,Alexia Link,False,Union Park BMW,Jan Build,BMW
1198743371331830,BMW of Darien Alexia Link,task,1198708006108001,Alexia Link,False,BMW of Darien,Jan Build,BMW
1198743367099525,BMW of Freeport Alexia Link,task,1198708006108001,Alexia Link,False,BMW of Freeport,Jan Build,BMW
1198743372006265,Park Ave BMW Alexia Link,task,1198708006108001,Alexia Link,False,Park Ave BMW,Jan Build,BMW
1198708060272891,BMW of Ramsey Alexia Link,task,1198708006108001,Alexia Link,False,BMW of Ramsey,Jan Build,BMW
1198853068151057,Keeler BMW Social QC,task,1198708006109124,Social QC,False,Keeler BMW,Jan Build,BMW
1198743369236100,BMW of the Hudson Valley Social QC,task,1198708006109124,Social QC,False,BMW of the Hudson Valley,Jan Build,BMW
1198743374590769,Bill Jacobs BMW Social QC,task,1198708006109124,Social QC,False,Bill Jacobs BMW,Jan Build,BMW
1198853066513578,BMW of the Main Line Social QC,task,1198708006109124,Social QC,False,BMW of the Main Line,Jan Build,BMW
1198853067476978,BMW Seattle Social QC,task,1198708006109124,Social QC,False,BMW Seattle,Jan Build,BMW
1198853067235025,Autobahn BMW Fort Worth Social QC,task,1198708006109124,Social QC,False,Autobahn BMW Fort Worth,Jan Build,BMW
1198743374230390,BMW of Peabody Social QC,task,1198708006109124,Social QC,False,BMW of Peabody,Jan Build,BMW
1198708043466501,BMW of Spokane  Social QC,task,1198708006109124,Social QC,False,BMW of Spokane ,Jan Build,BMW
1198708062326688,Union Park BMW Social QC,task,1198708006109124,Social QC,False,Union Park BMW,Jan Build,BMW
1198853066287149,BMW of Darien Social QC,task,1198708006109124,Social QC,False,BMW of Darien,Jan Build,BMW
1198743372037917,BMW of Freeport Social QC,task,1198708006109124,Social QC,False,BMW of Freeport,Jan Build,BMW
1198743373709649,Park Ave BMW Social QC,task,1198708006109124,Social QC,False,Park Ave BMW,Jan Build,BMW
1198708062917118,BMW of Ramsey Social QC,task,1198708006109124,Social QC,False,BMW of Ramsey,Jan Build,BMW
1198708064141653,Keeler BMW Budget QC,task,1198708006112237,Budget QC,False,Keeler BMW,Jan Build,BMW
1198743375567702,BMW of the Hudson Valley Budget QC,task,1198708006112237,Budget QC,False,BMW of the Hudson Valley,Jan Build,BMW
1198708065326204,Bill Jacobs BMW Budget QC,task,1198708006112237,Budget QC,False,Bill Jacobs BMW,Jan Build,BMW
1198708065675330,BMW of the Main Line Budget QC,task,1198708006112237,Budget QC,False,BMW of the Main Line,Jan Build,BMW
1198853069041449,BMW Seattle Budget QC,task,1198708006112237,Budget QC,False,BMW Seattle,Jan Build,BMW
1198708064427442,Autobahn BMW Fort Worth Budget QC,task,1198708006112237,Budget QC,False,Autobahn BMW Fort Worth,Jan Build,BMW
1198743375000105,BMW of Peabody Budget QC,task,1198708006112237,Budget QC,False,BMW of Peabody,Jan Build,BMW
1198743369451732,BMW of Spokane  Budget QC,task,1198708006112237,Budget QC,False,BMW of Spokane ,Jan Build,BMW
